prej_1,prej_2,prej_3,prej_4,prej_5,prej_6,prej_7,prej_8,prej_9,prej_10,prej_11,prej_12,prej_13,prej_14,prej_15,prej_16,prej_17,prej_18,prej_19,prej_20,prej_21,prej_22,prej_23,prej_24,prej_25,prej_26,prej_27,prej_28,prej_29,prej_30,prej_31,prej_32,prej_33,prej_34,prej_35,prej_36,prej_37,prej_38,prej_39,prej_40,prej_41,prej_42,prej_43,prej_44,prej_45,prej_46,prej_47,prej_48,prej_49,prej_50,prej_51,prej_52,prej_53,prej_54,prej_55,prej_56,prej_57,prej_58,prej_59,prej_60,prej_61,prej_62,prej_63,prej_64,prej_65,prej_66,prej_67,prej_68,prej_69,prej_70,prej_71,prej_72,prej_73,prej_74,prej_75,prej_76,prej_77,prej_78,prej_79,prej_80,prej_81,prej_82,prej_83,prej_84,prej_85,prej_86,prej_87,prej_88,prej_89,prej_90,prej_91,prej_92,prej_93,prej_94,prej_95,prej_96,prej_97,prej_98,prej_99,prej_100,prej_101,prej_102,prej_103,prej_104,prej_105,prej_106,prej_107,prej_108,prej_109,prej_110,prej_111,prej_112,prej_113,prej_114,prej_115,prej_116,prej_117,prej_118,prej_119,prej_120,accept_1,accept_2,accept_3,accept_4,accept_5,accept_6,accept_7,accept_8,accept_9,accept_10,accept_11,accept_12,accept_13,accept_14,accept_15,accept_16,accept_17,accept_18,accept_19,accept_20,accept_21,accept_22,accept_23,accept_24,accept_25,accept_26,accept_27,accept_28,accept_29,accept_30,accept_31,accept_32,accept_33,accept_34,accept_35,accept_36,accept_37,accept_38,accept_39,accept_40,accept_41,accept_42,accept_43,accept_44,accept_45,accept_46,accept_47,accept_48,accept_49,accept_50,accept_51,accept_52,accept_53,accept_54,accept_55,accept_56,accept_57,accept_58,accept_59,accept_60,accept_61,accept_62,accept_63,accept_64,accept_65,accept_66,accept_67,accept_68,accept_69,accept_70,accept_71,accept_72,accept_73,accept_74,accept_75,accept_76,accept_77,accept_78,accept_79,accept_80,accept_81,accept_82,accept_83,accept_84,accept_85,accept_86,accept_87,accept_88,accept_89,accept_90,accept_91,accept_92,accept_93,accept_94,accept_95,accept_96,accept_97,accept_98,accept_99,accept_100,accept_101,accept_102,accept_103,accept_104,accept_105,accept_106,accept_107,accept_108,accept_109,accept_110,accept_111,accept_112,accept_113,accept_114,accept_115,accept_116,accept_117,accept_118,accept_119,accept_120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,31.1,,,5.9,,65.9,,69.9,,36.9,,,,,5.2,,,,,62.1,,,,,67.5,14.1,,,6.6,,,,,,,,,,,,5.4,,,,,,,,,,,,,64.5,,,14.4,,,41.7,5.5,,7.7,,,,,,13.1,,,,,,,,71.5,,,18.7,,,3.7,,,7.7,,,,,,5.4,,,47.5,,,,,,,,6.1,2.3,3,,,,15.8,,15.1,3.9,,,,,,
70.3,,,68.7,,,,,,,,67.6,66.9,,1,,,,71,,,71.3,4.2,,,68.6,,,,68.5,,,,,,,,,67,,,,,,,,,,,,,76.6,,70.6,,,,,,67.9,,,,,68.6,67.2,,,52.7,,,,,,,,68.3,72.8,,,,66.3,68.5,,,,,67.7,,,,,23.5,,,,68.2,,,,69,67.3,,70.6,,,,,,,,,67.6,93.5,,,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,97.3,,55.1,,,98,,,,3.7,71.5,,89.7,,,76.8,,,,,,5.8,,,,,99.7,,,,90.8,,84.2,5.2,,,1.5,,,,30.3,,89.2,,,,94.2,73.5,65.6,,,96.9,,,,77.7,,,,99.4,,,,,,,,,,,84.8,88.3,99.6,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,95.8,73.2,,,,,,,99.3,,,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.9,53.1,,,,,51.8,,,,,,,57,52.1,,,,,,,,51.7,,57.3,,,,,,,52,,,50.6,,,,,,,,,,,,,,51.3,,,,,,,,57.2,,,55.8,53.4,,,,,,,55.2,,53.7,,56.5,,,,,,,54.5,,,53.1,,55.6,,,,,,56.3,,,57,,55.6,,,,,55.8,51.3,51.5,,,56.6,54.1,,,,55.5,53.4,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95.9,,84.4,,,,84.1,,,,,,,,,83.1,,,,,,,10.5,,,,,,87.8,,89.5,,86.3,54.7,,,,,,,,,,,,,,,,,78,,81,,,,49.2,,78.3,,88,,,14.2,,,,,,56.3,,94.6,,,,,,,8.5,,,80.3,,,,87.8,91.5,,,,,12.9,,,,78.8,,,,72.5,93.6,,,,,,95.1,,90.8,,,,,86.8,,,,89.2,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,,,,,20,1,,,24.9,,50,,,50,50,,,,,,,,50,,,,,,,50,,,50,,,50,10.1,50,,,,,50,,50,,,,,,,50,50,,,50,,,,,,50,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,50,,50,,,,50,,,,,75.1,19.9,50,50,50,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,100,100,,100,0,,,,100,,,,,,,,,100,,,,,,,100,,100,100,,,,,,,100,,30.7,,,100,100,100,,,,100,,,,,,,,100,,,100,,,100,100,,100,,,,,,,,,100,,,,,,,,,,,,,,,,100,,,,,100,,,100,,100,,,,,100,,,,,38,,100,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,100,,,,72.7,30.2,,100,,,,,,,,,,,,,26.4,,,,,,,51,,100,,,,,,,,,,31.4,,,,,,,,,55.1,,51.2,,22.4,43.3,,,49.6,,77.4,,63.5,72.5,100,,,,,77.1,,,,93.7,,,,,,,20.1,,,,,,72.2,100,,,100,84.7,,,,53.9,,,53.4,100,,13.1,,,,61.9,,,,,,,,,
,,,,53.4,,,,,,,,77.5,,,72.4,64.4,,,,53.4,67.3,0.7,92.3,,,15.4,57.2,,,,76.8,,,,,0,,,,,,,,,,,,68.7,,,,74.6,,,,,66.2,,75.6,,,,,,,,,56.2,,52.8,53.5,,13.2,54.5,,,,52,,,,11.5,,,71.4,59,,,,,23.2,,82.4,,,,70.8,,,,,,,,,,85.4,,,,,,,,,,,83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7,,,87.3,,,56.8,,,,63.2,,55.1,34.8,97.6,69,,,87.2,66.5,100,,,,,,,,,,,,,,,94.2,14.4,,,89,66.5,,,,,,,43,49.6,,,,,,,,50.8,47.5,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,23.4,100,,,53,,,,20.4,,,,33.5,63.8,65.8,86.2,,,,63.2,,,,,,80
,0,,,,100,,17.7,0,6.9,,,,,0,,,,,,,,,12,,,,,,,,100,84.6,,,,,,,,,,95.6,96.1,,9.3,,0,29.6,,,100,,,,,,,,,,,,,100,,,53.9,,,100,,,,,,,,10.4,,78.6,,,,,,,,,,1,,,,100,,,79.9,54.9,90.3,,,,,5.6,,,,100,,54.2,,,,,0,79.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1,17.3,48,,,,44.9,,,,1,,,1.3,,,,,,89.4,,,,,1,,,,75.6,,,,3,,,100,,,,,26.1,,,,,,12.1,3,,,,1,1,,5.5,,1,,,,,,,,,,,56.2,,,,1,,,,2.4,,,,,1,,,,95.1,,,,,,,,,3.8,,,,,,83.2,,1,,,85.5,86.3,,,,,,,86.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,29,100,,100,,,,,,,,,,,,,,,,,,,54.5,26.6,,,,100,,100,,,,,,88.7,75.2,,,,,,18.5,,,,,21,,,,,,,,,100,100,,,,,,,,,21,,,,,100,,,,40.3,,,,50.3,,,27.2,,26.1,,31.5,30.3,47.7,31.1,,33.5,,,,,17.3,33.4,29,,,20,,28.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,100,51.5,,,,,,,,100,,,,,,,,100,,,0,100,47,0,,47.2,,100,,47.7,,92.4,,,,,100,,100,,,,100,,,,,,,,,100,,,,,,,,100,,,,100,,,,,,,,,,,,,0,100,100,,,,88.6,,,,,100,,100,,,100,,,100,,,83.2,,,100,,100
,,,,,50.4,20.5,,,,,,86.2,52.8,0,,,,,,52.6,,,,,,,17.4,,,,,,,,,,,,,,0,,,,,,,53.8,,,86.5,,12.5,,,,,,50,,,,,50.3,,53.2,,14.8,,100,,,50.4,,51,,,,51,,,32.9,,,,49.8,,,,0,,,,,,75,,50.7,,,61.8,,,51.8,,52.6,,,,,,,51.5,50.7,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.4,,,65.2,,89.2,,,,,79.9,80.1,79.3,,,10.7,,,,,,35.4,,,,60.3,,,,95.2,89.2,,,,,89.6,,,,,,,,,,,,,,,,,95.2,5.1,,,,29.9,,,,,,,21,51.7,,,,,,,,,,,95.2,,,,,,,,20.7,,,,0,,,10.3,0,89.2,,,90,,,64.5,90.1,,,,,,,,,51.8,,,,,10.6,,,89,,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.9,,,,,,,,,50.8,,84.6,14.8,,,,,,,,91.8,1.1,,,,,4.1,,,,,,,7.2,32.4,,,,,,,,,19.2,47,,,78.3,,,,,6.2,,50.6,,4.1,7.6,80.4,22.3,59.3,,,,,,6.1,5.1,,,,,,,,,,70.1,,47.5,76.5,,,,,,,,25.4,,,,,27.6,,69.6,,10.3,,10.8,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,29.7,,,,,1,,,,100,8,,,99.6,,,1,,,,25.6,,,,10.7,50.3,100,,,,,21,,,23.9,,2.8,,,,,11.1,,,,,6.2,2.1,,2.3,1,,,,,3.5,,,14.9,,53.7,,,,1,,,,,,,,,,,,,,,100,,1,,,,,1,1,,,,,,,,,,32,,,,,,,51.3,12.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,,,,95.8,,,58.5,,96.3,,,,,,55.5,,,,15.5,,,78.5,,,,,,87.6,,89.3,,,,84.6,,,43.2,,,,,,54.9,,,,28.3,76.8,83.2,,,72.8,20,,,,,69.3,,,,9.2,,,,8.6,70.7,95.2,,,,,,,70.7,26.3,,93.2,,,,,,,,,17,,,,,,,,28,,,,,8.6,,,,,,,,,,82.5,70,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,,,,,,,,3.2,,23.2,,,,,,,,,,8.9,,,,,,,,,,,,,,3.8,100,,,,,7.7,,,5.8,,,,,9.2,,3,5.1,,,,,,0,,,,,,,,0,,,,,,7.3,,,2.8,7.6,,,,,,8.2,8.7,,11,8.5,,,,60.8,,,,,,10.1,,,,2.8,,6.1,2.3,5.9,2.1,0,5.6,,,,,,,7.3,,,,,
,,,,,,,,,,,,100,,,,,,,,,,,,,0,100,,100,100,,,100,,,100,0,,,,,,,,,,,,,100,,100,100,,100,,,,,0,,,,,,,,100,,,100,,,,100,100,,,,100,,,,,100,,,,,100,,,,,,,100,,,,100,,,,,100,100,,100,100,100,100,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,1,,100,100,,100,,,1.1,,,,,0.1,1,,,,,52.3,,0.1,1,,,,,82.7,,,100,,50.1,,100,,,1,,,,,,,,,100,52.7,100,,,,100,,82.4,,,,,,,,,57,,,,,,100,100,,,,,,,,,84.8,,,,83.9,,,,,,,,,,,,,,100,,,,,,,100,,,,,,,,,,,,100,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,27.3,,,,,36.5,,,,51.9,,,,,,,100,1.4,,0.3,83.7,53.9,,91,,100,,,,,,,61.7,,100,100,,,,,8.4,,100,,,80.7,,100,17.9,100,,,,100,,,,,,,62,,8.5,,,,,,81.8,,,,,,,,93.9,,,,71.5,,,,100,,,,,,,,,,,,41.5,6.6,,,,7.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,100,,100,,,,98.9,,,100,100,,,,,,,,100,,,,,,,,,,,,,,,,98.6,,,,,,,,,100,100,,,,,,,,100,,100,,,100,100,100,,,100,100,,,,,,100,100,,,,,,,,,,,,,,100,,99.9,100,100,,100,100,,,,,,100,,100,,,,,,100,,100,100,,,,,,,
,,64.9,54.5,,,,57.7,,,,,,,,,,,,91,33.4,,,,,32,53.2,87.9,,,,85.2,,,,81.8,,,,,,,,,,,,,70.6,54.6,69.6,,,,,,,89.9,86.8,,,,68.6,,,,92.7,,90.8,1,,,,,,80.7,73.4,,,,,,,73.1,,,,,,,,34.1,,,,,,,,,,91.7,,,,,87.6,,,,,55.5,,89.6,58.3,,93.1,,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,,,,,,,93.9,,8.7,,4.1,,,8.2,,,13.7,,50.7,,,,7,6.1,,30.4,,,,,,,,,,10.4,,,,,,,,,3.4,8.3,17.6,,,,,,7.9,18.2,4.4,,,,,24.9,,,,,19.7,,,,,,8.2,,,,,26.9,25.1,,,,13.1,,,,,,,,12.8,,2.4,,,5.6,,,3.9,2.7,5.4,,,,,,,10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,21.5,,69.6,,,,,,,1,,,,,,9.4,,,,,,3,,1,2.1,,,26.9,,,,,,74.9,78.6,,2.3,7.2,,1,,,,,,,3.9,,,,,,,,,,,,,,1,,,,,,,24.6,9.7,,,,59.7,,,3.9,,,21.3,,,,,,47,,,,,80.8,,,,,,,,,,,,1,1,28.5,,,56.9,,,,1,1,,1
28,,50.3,,,,,,,,,,,,0,,,,,,,50.4,,,38.3,,,,50.4,50.4,,,50,18.7,50.8,,0,,,,,,,,,,,,,50.7,50.7,,,,50.6,50.7,,,50.8,50.4,,,,50.4,,50.7,,,,0,,50.3,,,,,,,26.8,,,,,,,,,50.7,,,,50.7,,,,,,,,50.8,50.3,,,,50.4,,,50.3,,23.5,,,,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16.5,,,97.2,,,,,,,,51.3,,100,90,,,,,64.6,,,,,17.2,,,,82.3,,,,79.3,,,33.9,,1,,1,86.3,,17.2,91.3,100,,92.4,43.9,,80.6,,,,,93.4,,,,99.2,,,,,77.9,,,,,,,,,,76.2,86.8,,,,,,,68.6,,,,,,,,,,,,,,,,89.2,,88.6,99.6,,,,,,,,,,,,1,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,100,0,,0,,0,,,,,,,,0,,,,0,,,0,0,,,,0,,,,,,,,,0,,,,,,0,,,,,0,,,,0,,,,0,,0,,0,0,,,,,0,,0,,,,,,,0,,0,0,,,,,0,,,,,,0,,,,0,,,,,,0,,,,,0,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,,,0,,,,,,0,,,,,,0,0,,,,,0,0,100,,,,,,,,,,,,,100,,0,,,,,0,,,,,0,,,,,0,,,0,,,0,0,0,,,0,,,,,,,,,,,,0,,,0,,,0,,0,,,,,,,,,,,0,,,0,0,100,,,,,,,,,,,0,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,1,,,,,,,,1,29.2,1,10.3,,100,,8.6,1,8.9,,,,,,48.2,,,,,,7.2,,,,,,,,81.4,,10,,,,,74.5,1,,72,,,,,,1,44.8,,,10.3,,,,,,,,,,1,,,8.5,,,1,,,,1,12.5,,,,8.5,7.3,,,,,,,11.4,,,8.9,,,,,,,,,,,,,,,,,,,49.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,,0.1,,24.4,100,100,,,100,,,,,,28.6,,,,,100,,20.8,,,,,,,,,,,,,,,85.1,,,,,,,,,74.5,,,7.2,,,100,82.4,14.8,,,51.5,,,3.2,,,,,83.4,,,3.1,69.7,,,3.5,,,,,18.9,85.5,2.3,,77.2,,33.1,,5.9,,,,,74.5,,10.7,,,,,,,,,,,,4.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,100,4.2,,80.4,,,,,,,,,0,,,,,,,,,,,,0,2.5,0,,100,,,,,1,,,0,,,,,,0,,0,,,,,,0,0,0,,,,,0,,,,,,,,,,0,0,0,80,,,0,100,,,,,0,,100,,,,,0,,,,,,,,,,0,,,,0,81.4,,,,,,,,,,3
,,,,100,100,,,,,,,100,,,,100,0.1,99,93.8,,99.3,,,,,,,,,,,,,100,,0,,,0,,100,,100,,,100,,,100,,,,,,,,100,,,,,100,,,,,,,,,,,,,,98,,,100,,100,,,50,,99.2,,,100,,,,,,,100,96.9,,,,,100,99.7,,,100,100,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,88.6,100,,,63.2,,,84.8,,38.7,,,,,,100,,47.6,0,,,,,,,,,,,100,68.2,,,,89.3,,,,,,,63,,,,50,,,50,10.1,,,,,,,,0,,,,,100,0,,,,,,,,,,,,,,,,,9.6,,,,,,,11.3,,,,,,,,,,,,0,,,50.3,77.6,89.4,79,12,49.6,52.5,0,,,
,,92.7,,,,,,,58.7,,77.7,90.8,,,83.2,,,,,,,0,,,,,,,91.7,,,,,,,,,79.9,,,22.5,91,92.3,,,,,,,,,90,,,,90.3,,,,,,,,,,,,,,,89.9,93.4,20.7,,90.8,89,,89.6,89.7,,93.7,,77.6,,,,90.7,89.9,,,,,,,,,,,,,91.4,,,88.5,,,92.8,,,,,,,83.5,65.4,,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24.1,,52.8,51,,,,,,,91.3,,,,,,,,24.4,,,,,,0,,54.2,95.1,51.1,,51.8,,,,0,,,,8.5,0,,,,,,,47.9,,,,,,,,,,53.5,,,52.8,67.7,,,,39.4,,,,50.6,,,,,,,,,,,,4.1,,,52.7,,,31.7,,0,20.6,,,,,50.3,,,98.9,,,,100,,,,,,,0,,69,,,,,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,0,,100,,,,,,,,,,100,100,,100,,,38.6,,,,,,,,,,0,,,38.5,,,,,100,,,,100,,,,,100,,,,100,100,,,,100,,,100,,,,,,,,,,,,,,,100,,65.8,,,,,,76.8,,45.4,,,100,,0,,50.8,100,,,100,,,100,,,,,,,,,,100,31.3,,,100,
,,,,,,,,,,78.7,,,32.8,,,,,,,,100,1.1,,33.2,,,,,,,,,,31,,1,,,,,,,,,,56.2,,,,,97.6,,51,51.7,42.7,,,52.1,,56.8,,,51.4,,,53,,4.9,,,82.4,50.3,23,,,,,,,,,,52.7,56.2,,,,,,,,,,,3,,,,,,,85.4,,,,,72,81.5,,,,79.6,56.9,,,82.7,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,,,,,,,,50.8,,,100,,,,,,100,,100,0,,50.3,,,,,,,100,100,,100,,,100,,,,,,,,,100,,,,,,,,,,,,,,,,100,100,,50.3,,100,,0,,,,,,100,,,,,,,,100,99.9,,,,100,,100,100,0,,,,,,99.9,,100,,,,,,100,,,100,,,50.6,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
